Name,Information
St. Kitts Co-operative Credit Union Ltd.,"Address: Wellington Rd.,
New Street,
P.O. Box 713,
Basseterre,
St. Kitts, W.I.
Contact Number 1: 869-465-2272
Contact Number 2: 869-465-9014
Fax: 869-466-1892
Website: www.stkittscreditunion.com
Category: Credit Unions"
Police Co-operative Credit Union (St. Kitts & Nevis) Limited,"Address: Cayon Street,
P.O.Box 189,
Basseterre,
St. Kitts
Contact Number1: 869-465-0968
Contact Number2: 869-465-9554
Fax: 869-466-7946
Website: www.sknpolicecreditunion.org
Category: Credit Unions"
Nevis Co-operative Credit Union Limited,"Address: Chapel Street,
P.O.Box 452,
Charlestown,
Nevis
Contact Number: 869-469-5634
Fax: 869-469-1956
Website: www.neviscreditunion.com
Category: Credit Unions"
First Federal Co-operative Credit Union Limited.,"Address: Bladen Commercial Development ,
Wellington Road,
P.O.Box 507,
Basseterre,
St. Kitts
Contact Number1: 869-465-2576 
Contact Number2: 869-465-4820 
Fax: 869-465-9187 
Website:
www.fndcuonline.com 
Category: Credit Unions"
Development Bank of St. Kitts and Nevis,"Address1: St. Kitts Branch,
P.O.Box 249,
Cnr. Church Street & Central Streets,
Basseterre,
St. Kitts
Address2:Nevis Branch,
Main Street,
Charlestown,
Nevis
Contact Number1: 869-465-2288
Contact Number 2: 869-469-5416
Fax: 869-465-4016/469-1262
Website: www.skndb.com
Category: Development Bank"
Easy Money Transfer Limited (trading as Ria Money Services),"Easy Money Transfer Limited (trading as Ria Money Services)
 West Independence Square Street
 Basseterre, St. Kitts
 
 Tel: (869) 465-3325
 E-mail: This email address is being protected from spambots. You need JavaScript enabled to view it."
GraceKennedy Money Services (St. Kitts-Nevis) Ltd (trading as Western Union).,"Rams Complex
 Bird Rock
 St. Kitts
 Tel# 466-1111/465-0887"
Project and Business Management Caribbean Limited,"2nd Floor, Amory Building
 Victoria Road
 Basseterre
 St. Kitts
 Tel# 465-7887"
Unicomer (St. Kitts-Nevis) Limited,"Bay Road
Basseterre
St. Kitts
Tel# 466-1640"
Money World Limited,"Address: Cayon Street (Opposite to Police Station)
Basseterre,
St. Kitts
Tel: 869-465-7140

"
FastCash (KN) Ltd.,"Address: 2nd Floor, Baico Building, Cayon Street, Basseterre.
Contact Number: 869-466-2620
Fax: 869-466-2630
Category: Money Services Businesses"
Fidelity Management Ltd. (trading as MoneyGram),"Address: Shoreline Plaza,
Basseterre,
St. Kitts
Contact Number:
869-465-5007"
Advance Caribbean (St. Kitts-Nevis) Ltd.,"Address: Church Street,
Basseterre,
St. Kitts
Contact Number:
869-466-6677"
CML (SKN) Ltd.,"Address: Unit C16 The Sands Complex,
P. O. Box 1640,
Bay Road,
Basseterre,
St. Kitts
Contact Number: 869-466-5834
Fax: 869-466-6851
Category: Money Services Businesses"
CaribTrust Ltd.,"Address: Horsford Shopping Complex
 Wellington Road
 Basseterre
 St. Kitts
 Contact Number: 869-466-4001"
Hamilton Reserve Bank Limited,"Address: Hamilton Reserve Bank Plaza
 Jessups Estate
 Nevis 
 Contact Number: 869-469-8889"
National Bank Trust (St. Kitts-Nevis-Anguilla) Ltd.,"Address: Unit A10, The Sands Complex
 P. O. Box 1324, Basseterre
 St. Kitts
 Contact Number: 869-465-2204 extn 1251
 869-662-5576 (cell)"
Everi Games Inc.,"206 Wild Basin Road,
South Blg B
Austin, TX 78746 

702-855-3000"
