Company Name,CLASS OF LICENCE,ADDRESS,WEBSITE ADDRESS
Allen & Co.,Company Agent,"101 Governors Road,Leeward Providenciales Turks & Caicos Islands",
Alliance Realty Ltd.,Company Manager,"Alliance Business & Conference CentreUnit#1, Grace Bay, ProvidencialesTurks & Caicos Islands",
Baker Tilly Corporate Services Limited(formly KPMG Corporate Services Ltd),Company Manager,"P O Box 357, KPMG Building,18 The Village at Grace Bay Providenciales, Turks & Caicos Islands, BWI",http://www.bakertilly.tc
Britannic Management Limited,Company Agent,"P O Box 555,Britannic HouseProvidenciales,Turks & Caicos Islands, BWI",
Caribbean Management Services Limited,Company Manager,"122 Blue Mountain Road, P.O. Box 127, Providenciales, Turks & Caicos Islands",http://www.cmstci.com
Claymore Corporate Services Ltd.,Company Manager,"P.O. Box 64. Suite C12, Market Place, Providenciales, Turks & Caicos Islands, B.W.I",
Coriats Trust Company Limited,Company Manager,"P.O. Box 171, 82 Cherokee Road,Providenciales, Turks & Caicos Islands, BWI",https://www.coriats.com/
Corporation Services Limited,Company Manager,"1, Caribbean PlaceP.O. Box 97Providenciales, Turks & Caicos Islands, BWI",
Empower Corporation Limited,Company Manager,"PMB 2, Caribbean PlaceProvidenciales, Turks & Caicos Islands, BWI",
Epic Corporate & Consultancy Services Ltd.,Company Manager,"Cee's Plaza, Suite #1Church FollyP.O. Box 86Grand Turk, Turks & Caicos Islands",
F Corporate & Management Services Limited,Company Manager,"007 Emily House1105 Leeward HighwayP.O. Box 666Providenciales, Turks & Caicos Islands",
G & P Corporate Services Ltd.(formerly Integra Services Ltd),Company Manager,"P.O. Box 90882 Cherokee RoadProvidenciales, Turks & Caicos Islands",
Grant Thornton Turks & Caicos Ltdformerly Pricewaterhousecoopers Limited,Company Agent,"P.O. Box 63Abacus House, Leeward HighwayProvidenciales, Turks & Caicos Islands",http://www.grantthornton.tc
HLB (TCI) Corporate Services Ltd.,Company Manager,"P.O. Box 54, B204 West Regent Village, Grace Bay, Providenciales, Turks & Caicos Islands.",
Hugh G. O'Neill & Co,Company Manager,"P.O. Box 267BCM Cape Building, Leeward HighwayProvidenciales, Turks & Caicos Islands, BW",
Lex Corporate Services Ltd.,Company Manager,"P.O. Box 1208, Suites A201 & A202 (Upstairs), Regent Village East, Grace Bay, ProvidencialesTurks & Caicos Islands",http://www.lexcotci.com
Logberg Corporate Services Ltd.,Company Manager,"P O Box 209, Chancery Court, 1276 Leeward HighwayProvidenciales, Turks & Caicos Islands, BWI",
Marlin Ltd.(formerly Alpadis Corporate Services Ltd),Company Manager,"P.O. Box 1235, Unit A 210, Regent Village EastGrace Bay RoadProvidenciales, Turks & Caicos Islands, BWI",https://marlintc.com
McCleery LP.,Company Manager,"301 Neptune Court, Grace BayProvidenciales, Turks & Caicos Islands, BW",http://www.mccleery.tc
Meridian Trust Company Limited,Company Manager,"P.O. Box 599Level 2, Le Vele PlazaGrace Bay,Providenciales, Turks & Caicos Islands",http://www.meridiantrust.tc
Morris Cottingham Corporate Services Limited,Company Manager,"P O Box 156,Wilma House, 2nd Floor,Hibiscus Square, Pond StreetGrand Turk, Turks & Caicos Islands, BWI",
M & S Trust Company Limited,Company Manager,"P.O. Box 560, Upper Floor (East Wing), The Beatrice Butterfield Building, Leeward Highway,Providenciales, Turks & Caicos Islands",
North Shore Management Ltd.,Company Manager,"P.O. Box 463Unit 35, The Salt MillsGrace Bay RoadProvidenciales, Turks & Caicos Islands,",
Richmond Management ServicesNon- Corporate,Company Manager,"P.O. Box 620Suite A-1, WindsorLeeward HighwayProvidenciales, Turks & Caicos Islands, BWI",
Rutley Law OfficeNon- Corporate,Company Manager,"Neptune PlazaP.O. Box 796,ProvidencialesTurks & Caicos Islands",
Saunders Management Ltd.,Company Manager,"P.O. Box 25723 Parade AvenueTown Centre Building,ProvidencialesTurks & Caicos Islands",
Sovereign Registrars Limited,Company Manager,"2nd floor Yellowman & Sons BuildingOff Old Airport RoadP.O. Box 170Grand Turk, Turks & Caicos Islands",
Stanbrooks Corporate Services Ltd.,Company Manager,"Third Floor, Graceway HouseGraceway Plaza,Providenciales, Turks & Caicos Islands",
Taino Management Ltd.,Company Manager,"Graceway House, Building A, Suite 201, Providenciales, Turks & Caicos Islands, BWI",http://www.stanfieldgreene.com
Temple Trust Company Limited,Company Manager,"The Temple Financial CentreP.O. Box 228, Leeward HighwayProvidenciales, Turks & Caicos Islands",
The A-Team Ltd.,Company Manager,"Grace Bay Road,Ports of Call Plaza,Providenciales, Turks & Caicos Islands,",
Veer Ltd.,Company Manager,Unit 6-6 La Vista Azul CourtyardTurtle CoveProvidencialesTurks & Caicos Islands,
WB Corporate Management Ltd.,Company Manager,"P.O. Box 137, The Regent Village, Unit H205, Grace Bay RoadProvidencialesTurks & Caicos Islands",http://wbfinancial.tc/
