Component,Component URL,ISIN,Trading Location,Issuer Country
AIB GROUP PLC,https://live.euronext.com/en/product/equities/IE00BF0L3536-XMSM,IE00BF0L3536,Euronext Dublin,Ireland
BANK OF IRELAND GP,https://live.euronext.com/en/product/equities/IE00BD1RP616-XMSM,IE00BD1RP616,Euronext Dublin,Ireland
CAIRN HOMES PLC,https://live.euronext.com/en/product/equities/IE00BWY4ZF18-XMSM,IE00BWY4ZF18,Euronext Dublin,Ireland
CRH PLC ord,https://live.euronext.com/en/product/equities/IE0001827041-XMSM,IE0001827041,Euronext Dublin,Ireland
DALATA HOTEL GP.,https://live.euronext.com/en/product/equities/IE00BJMZDW83-XMSM,IE00BJMZDW83,Euronext Dublin,Ireland
FBD HOLDINGS PLC,https://live.euronext.com/en/product/equities/IE0003290289-XMSM,IE0003290289,Euronext Dublin,Ireland
FLUTTER ENTERTAIN,https://live.euronext.com/en/product/equities/IE00BWT6H894-XMSM,IE00BWT6H894,Euronext Dublin,Ireland
GLANBIA PLC,https://live.euronext.com/en/product/equities/IE0000669501-XMSM,IE0000669501,Euronext Dublin,Ireland
GLENVEAGH PROP.PLC,https://live.euronext.com/en/product/equities/IE00BD6JX574-XMSM,IE00BD6JX574,Euronext Dublin,Ireland
GREENCOAT REN.,https://live.euronext.com/en/product/equities/IE00BF2NR112-XESM,IE00BF2NR112,Euronext Growth Dublin,Ireland
IRISH CONT. GP.,https://live.euronext.com/en/product/equities/IE00BLP58571-XMSM,IE00BLP58571,Euronext Dublin,Ireland
IRISH RES. PROP.,https://live.euronext.com/en/product/equities/IE00BJ34P519-XMSM,IE00BJ34P519,Euronext Dublin,Ireland
KERRY GROUP PLC,https://live.euronext.com/en/product/equities/IE0004906560-XMSM,IE0004906560,Euronext Dublin,Ireland
KINGSPAN GROUP PLC,https://live.euronext.com/en/product/equities/IE0004927939-XMSM,IE0004927939,Euronext Dublin,Ireland
MALIN CORP. PLC,https://live.euronext.com/en/product/equities/IE00BVGC3741-XESM,IE00BVGC3741,Euronext Growth Dublin,Ireland
ORIGIN ENT. PLC,https://live.euronext.com/en/product/equities/IE00B1WV4493-XESM,IE00B1WV4493,Euronext Growth Dublin,Ireland
PERM. TSB GP. HOLD,https://live.euronext.com/en/product/equities/IE00BWB8X525-XMSM,IE00BWB8X525,Euronext Dublin,Ireland
RYANAIR HOLD. PLC,https://live.euronext.com/en/product/equities/IE00BYTBXV33-XMSM,IE00BYTBXV33,Euronext Dublin,Ireland
SMURFIT KAPPA GP,https://live.euronext.com/en/product/equities/IE00B1RR8406-XMSM,IE00B1RR8406,Euronext Dublin,Ireland
UNIPHAR PLC,https://live.euronext.com/en/product/equities/IE00BJ5FQX74-XESM,IE00BJ5FQX74,Euronext Growth Dublin,Ireland
