company,URL,PIB,Full name,Address
AGEA INTERNATIONAL,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/agea,02771896,"INVESTICIONO DRUŠTVO ""AGEA INTERNATIONAL"" AD PODGORICA","BUSINESS CITY, ARSENIJA BOLJEVIĆA 2A, PODGORICA"
MORAVAC,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/moravac,02251396,FARMA MORAVAC A.D BIJELO POLJE," SLOBODANA PENEZIĆA BB, BIJELO POLJE, Crna Gora"
MONTENEGRO AIRLINES,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/montenegro-airlines,02737175,MONTENEGRO AIRLINES,"BEOGRADSKA BR.10, PODGORICA, Crna Gora"
MMK STANDARD,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/mmk-standard,02100134,MMK STANDARD A.D NIKŠIĆ,"KARADZIĆA BB, NIKŠIĆ, Crna Gora"
MONTENEGRO WOOD SANCAKLI MOBILYA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/montenegro-wood-sancakli-mobilya,03072690,MONTENEGRO WOOD SANCAKLI MOBILYA,"Maršala Tita bb, Rožaje, Crna Gora"
SAMBIC,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/sambic,0329393,SAMBIC - SAVANA ACQUISITION MOUNTAIN BLACK INVESTMENT CAPITAL AD PODGORICA,"SVETLANE KANE RADEVIĆ 3, 81000 PODGORICA"
MONTENEGRO MODERN SHOES,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/montenegro-modern-shoes,02340992,MONTENEGRO MODERN SHOES U STEČAJU,"CRNOGORSKIH  HEROJA  101, CETINJE, Crna Gora"
MORAČA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/moraca,02034476,MORAČA A.D,"CRNOGORSKIH SERDARA BB, PODGORICA, Crna Gora"
MONTENEGROTURIST,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/montenegroturist,02005379,"A.D.""MONTENEGROTURIST""","Trg sunca 2, Budva, Crna Gora"
MONTENEGRO BROKER DILER,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/montenegro-broker-diler,02654458,MONTENEGRO BROKER DILER,"RIMSKI TRG BB, PC KRUŠEVAC, PODGORICA, Crna Gora"
VENQO GROUP,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/v-w-z-z/venqo,03346781,"AKCIONARSKO DRUŠTVO ""VENQO GROUP"" BIJELO POLJE","Slobodana Penezica bb, 84000 Bijelo Polje"
MONTECARGO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/montecargo,02758628,"""MONTECARGO""","Trg golootočkih žrtava, PODGORICA, Crna Gora"
MONTEX,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/montex,02768844,MONTEX,"Nikole tesle b.b, NIKŠIĆ, Crna Gora"
MJEŠOVITO,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/mjesovito,02008190,MJEŠOVITO A.D HERCEG NOVI,"X Hercegovačke 1, HERCEG NOVI, Crna Gora"
MONTENEGROBERZA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/montenegroberza,02168286,MONTENEGROBERZA A.D.,"Moskovska 77, PODGORICA, Crna Gora"
DUKLEY RESORT & SPA KOLAŠIN,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/dukley-resort-spa-kolasin,03297357,"AKCIONARSKO DRUŠTVO ""DUKLEY RESORT & SPA KOLAŠIN"" AD BUDVA","ZGRADA HARMONIJA, POLUOSTRVO ZAVALA, Budva"
Sveti Stefan Hoteli,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/r-s-s-t-u/svetistefanhoteli,03275108,"""SVETI STEFAN HOTELI"" AD BUDVA",Trg Slobode br.1 Budva
MONTENEGRO-EXPRESS GROUP,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/montenegro-express-group,02029707,"""MONTENEGRO EXPRESS GROUP""  A.D.","BUDVA TRG SUNCA 2, BUDVA, Crna Gora"
ALPMONT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/alpmont,02016389,ALPMONT AD HERCEG NOVI,ZELENIKA BB
MONETA DZU,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/moneta-dzu,02334780,"Društvo za upravljanje investicionim fondom ""MONETA""","Trg Republike 13, PODGORICA, Crna Gora"
MONTEPRANZO - BOKAPRODUKT,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/montepranzo-bokaprodukt,02269066,MONTEPRANZO- BOKAPRODUKT A.D.,"MRČEVAC bb, TIVAT, Crna Gora"
NIG POBJEDA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/nig-pobjeda,02013924,"N.I.G.""POBJEDA U STEČAJU"" A.D. Podgorica"," BULEVAR REVOLUCIJE 11, PODGORICA, Crna Gora"
NAPREDAK,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/napredak,02033542,"""NAPREDAK"" A.D KOTOR"," TRG OD ORUŽJA B.B., KOTOR, Crna Gora"
BETA INVESTMENTS,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/betainvestments,03321169,Beta Investments a.d. Podgorica,"Cetinjska 11, 81000 Podgorica"
NIKŠIĆKI MLIN,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/niksicki-mlin,02048094,"""NIKŠIĆKI MLIN"" A.D  NIKŠIĆ"," HERCEGOVAČKI PUT 5, NIKŠIĆ, Crna Gora"
NK BROKER,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/nk-broker,02440962,NK BROKER," TRG SLOBODE 10, NIKŠIĆ, Crna Gora"
NLB BANKA,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/m-n-o-p-q/nlb-banka,02011395,NLB BANKA A.D.," Bul.Stanka Dragojevića 46, PODGORICA, Crna Gora"
ADRIATIC BANK,https://www.scmn.me/me/ucesnici-na-trzistu/emitenti/a-b-c-d-2/adriatic-bank,03087158,ADRIATIC BANK a.d. Podgoirca," Bulevar Džordža Vašingtona 98, Podgorica, Crna Gora"
