Broker names,broker filer code,addresses,phones
AEI DRAWBACK SERVICES,AA6,"211D WHITE SPRUCE BOULEVARD
BUFFALO, NY 14207
United States ",+1 716-854-0477          
COLE INTERNATIONAL USA INC,CIU,"2094 GRAND ISLAND BOULEVARD
GRAND ISLAND, MI 14072
United States ",+1 716-773-9207          
CEVA INTERNATIONAL INC,004,"1775 WEHRLE DRIVE SUITE 200
SUITE 200
WILLIAMSVILLE, NY 14221
United States ",+1 716-630-1605          
BAY BROKERAGE INC,BGK,"171 COOPER AVENUE SUITE 108
TONAWANDA, NY 14150
United States ",+1 716-783-7226          
CB CUSTOMS BROKERAGE SERVICES,9L7,"4450 WITMER INDUSTRIAL ESTATES
UNIT 3
NIAGARA FALLS, NY 14305
United States ",+1 855-553-5083          
AFFILIATED CUSTOMS BROKERS USA INC,EG6,"4244 RIDGE LEA ROAD
AMHERST, NY 14226
United States ",+1 716-883-6523          
AMG CUSTOMS SOLUTIONS INC,97V,"150 SOUTH 8TH STREET
225
LEWISTON, NY 14092
United States ",+1 716-200-0809          
A N DERINGER INC,551,"840 AREO DRIVE
AERO BUSINESS PARK SUITE 110
CHEEKTOWAGA, NY 14225
United States ",+1 716-630-7542          
DANASONS BORDER SERVICES INC,DK1,"353 LANG BLVD
GRAND ISLAND, NY 14072
United States ",+1 716-773-7301          
BCB INTERNATIONAL INC,186,"1010 NIAGARA STREET
BUFFALO, NY 14213
United States ",+1 716-884-1554          
DEBORAH MONKELBAAN DBA CLEARQUICK CUSTOMS BROKERAGE,9KL,"3659 MEADOWBROOK ACRES
30 MOSHER DR
TONAWANDA, NY 14150
United States ",+1 716-870-0868          
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,231,"250 SONWIL DRIVE
SUITE 254
BUFFALO, NY 14225
United States ",+1 716-685-9585          
DELMAR INTERNATIONAL NY INC,DS9,"100 COLVIN WOODS PARKWAY
SUITE 500
TONAWANDA, NY 14031
United States ",+1 716-832-0908          
DANIEL ROGERS,9F6,"5586 MAIN STREET
WILLIAMSVILLE, NY 14221
United States ",+1 716-630-0500          
EC GLOBAL DYNAMICS INC,9RY,"5299 TONAWANDA CREEK ROAD
PENFIELD, NY 14526
United States ",+1 800-568-7618          
LANDMARK TRADE SERVICES USA INC,SGL,"1 SCRIVNER DRIVE
BUFFALO, NY 14213
United States ",+1 716-881-6691          
FRANKLIN TRAFFIC SERVICE INC,CCC,"5251 SHAWNEE ROAD
WILLIAMSVILLE, NY 14221
United States ",+1 716-204-4020          
ICUSTOM BROKER INC,EU9,"2810 SWEET HOME ROAD
AMHERST, NY 14228
United States ",+1 716-523-2874          
HOC USA INC,HOC,"400 RIVERWALK PARKWAY
TONAWANDA, NY 14150
United States ",+1 716-877-0475          
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,799,"128 DEARBORN STREET
BUFFALO, NY 14207
United States ",+1 716-879-1075          
NORTHERN CUSTOMS SERVICES INC,M50,"225 OLD FALLS STREET
NIAGARA FALLS, NY 14303
United States ",+1 716-236-7337          
MOWHAWK GLOBAL LOGISTICS CORP DBA MOWHAWK GLOBAL LOGISTICS,DE6,"123 AIR CARGO ROAD
NORTH SYRACUSE, NY 13212
United States ",+1 315-455-3003          
LIVINGSTON INTERNATIONAL PROFESSIONAL SERVICES INC,SQ3,"670 YOUNG STREET
TONAWANDA, NY 14150
United States ",+1 716-692-3100          
METRO CUSTOMS BROKERS INC,WFN,"1 PEACE BRIDGE PLAZA
BUFFALO, NY 14213
United States ",+1 716-883-0020          
MOT INTERMODAL SHIPPING USA INC,BFE,"1200 A SCOTTSVILLE ROAD
ROCHESTER, NY 14624
United States ",+1 585-758-5800          
MONTGOMERY INTERNATIONAL INC,196,"341 ERICKSON AVENUE
ESSINGTON, PA 19029
United States ",+1 610-521-1450          
MSR CUSTOMS CORPORATION,MH8,"1 PEACE BRIDGE PLAZA
TONAWANDA, NY 14150
United States ",+1 716-215-9000          
NEAR NORTHCUSTOMS BROKERSUS INC,CDF,"400 ESSJAY ROAD
GRAND ISLAND, NY 14072
United States ",+1 716-773-9207          
NATIONAL BROKERAGE LLC,9VE,"350 WINDWARD DRIVE
ROCHESTER, NY 14623
United States ",+1 585-328-7130          
MIQ GLOBAL LLC DBA MIQ LOGISTICS,988,"300 AIRBORNE PARKWAY
CHEEKTOWAGA, NY 14225
United States ",+1 716-564-4230          
SEKO CUSTOMS BROKERAGE INC,M34,"6454 EAST TAFT ROAD
EAST SYRACUSE, NY 13057
United States ",+1 315-452-9593          
ROYAL CUSTOMS BROKERS INC DBA SPEED GLOBAL SERVICES,AGW,"2299 KENMORE AVENUE
BUFFALO, NY 14207
United States ",+1 716-854-0477          
RADIX GROUP INTERNATIONAL INC DBA DHL GLOBAL FORWARDING,336,"181 COOPER AVENUE
TONAWANDA, NY 14150
United States ",+1 716-877-3982          
ROAR LOGISTICS INC,9LY,"120 CHURCH STREET
SUITE 100
NORTH TONAWANDA, NY 14120
United States ",+1 716-694-7190          
TAHOCO LOGISTICS INC,BTX,"400 RIVERWALK PARKWAY
SANBORN, NY 14132
United States ",+1 716-874-6327          
RUSSELL A FARROW US INC,EI5,"2916 WALDEN AVENUE
SUITE 400
DEPEW, NY 14043
United States ",+1 716-631-2000          
UNIVERSAL LOGISTICS USA INC,WRT,"2205 KENMORE AVENUE
BUFFALO, NY 14207
United States ",+1 716-882-4100          
TRANS AMERICAN CUSTOMHOUSE BROKERS INC,390,"4902 NORTH AMERICA DRIVE
WEST SENECA, NY 14224
United States ",+1 716-896-7800          
WELKE CUSTOMS BROKERS USA INC,E5G,"36 DELAWARE STREET
TONAWANDA, NY 14150
United States ",+1 716-995-2900          
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"1 SCRIVNER DRIVE
CHEEKTOWAGA, NY 14227
United States ",+1 716-608-7100          
WILLSON INTERNATIONAL INC,F57,"160 WALES AVENUE
SUITE 100
TONAWANDA, NY 14150
United States ",+1 716-871-1984          
