Date,Topic,Description,URL
30.12.2019,"Brot
fjárfestingarsjóðs í rekstri Landsbréfa hf. gegn a. lið 1. tl. 4. mgr. 59. gr.
laga nr. 128/2011","
Fjármálaeftirlitinu
barst tilkynning frá Landsbréfum hf., mánudaginn 26. ágúst 2019, þess efnis að
fjárfestingarsjóður í rekstri félagsins, Landsbréf – Markaðsbréf sértryggð,
hefði farið fram úr lögbundnu hámarki fjárfestingarheimilda föstudaginn 23. ágúst
2019. 

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/brot-fjarfestingarsjods-i-rekstri-landsbrefa-hf.-gegn-a.-lid-1.-tl.-4.-mgr.-59.-gr.-laga-nr.-128-2011
20.12.2019,"Niðurstaða athugunar á aðgerðum Landsbankans hf.
gegn peningaþvætti og fjármögnun hryðjuverka","
Fjármálaeftirlitið hóf vettvangsathugun hjá Landsbankanum hf. í janúar
2019. Niðurstaða lá fyrir í október 2019.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-adgerdum-landsbankans-hf.-gegn-peningathvaetti-og-fjarmognun-hrydjuverka
20.12.2019,"Niðurstaða athugunar á aðgerðum Kviku banka hf.
gegn peningaþvætti og fjármögnun hryðjuverka","
Fjármálaeftirlitið hóf vettvangsathugun hjá Kviku banka hf. í maí 2019.
Niðurstaða lá fyrir í desember 2019.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-adgerdum-kviku-banka-hf.-gegn-peningathvaetti-og-fjarmognun-hrydjuverka
20.12.2019,"Niðurstaða
athugunar á aðgerðum Íslandsbanka hf. gegn peningaþvætti og fjármögnun
hryðjuverka","
Fjármálaeftirlitið hóf vettvangsathugun hjá Íslandsbanka hf. í
mars 2019. Niðurstaða lá fyrir í desember 2019.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-adgerdum-islandsbanka-hf.-gegn-peningathvaetti-og-fjarmognun-hrydjuverka
17.12.2019,"Samkomulag
um sátt vegna brots Arion banka hf. á 2. mgr. 8. gr. laga nr. 108/2007 um
verðbréfaviðskipti","
Hinn 14. nóvember 2019
gerðu Fjármálaeftirlitið og Arion banki hf., hér eftir nefndur málsaðili, með
sér samkomulag um að ljúka með sátt máli vegna brots á 2. mgr. 8. gr. laga nr. 108/2007
um verðbréfaviðskipti.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/samkomulag-um-satt-vegna-brots-arion-banka-hf.-a-2.-mgr.-8.-gr.-laga-nr.-108-2007-um-verdbrefavidskipti
27.11.2019,"Niðurstöður
athugana á meðhöndlun kvartana hjá tilteknum sparisjóðum","
Fjármálaeftirlitið
hóf í september 2019 athugun á meðhöndlun kvartana hjá Sparisjóði Austurlands,
Sparisjóði Höfðhverfinga og Sparisjóði Strandamanna. Niðurstöður lágu fyrir í
október 2019.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstodur-athugana-a-medhondlun-kvartana-hja-tilteknum-sparisjodum
12.11.2019,"Niðurstaða
athugunar á opinberri fjárfestingarráðgjöf","
Fjármálaeftirlitið hóf í mars 2019 athugun á opinberri fjárfestingarráðgjöf hjá Landsbankanum hf. („bankinn“ hér eftir). Niðurstaða lá fyrir í október 2019.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-opinberri-fjarfestingarradgjof
29.10.2019,"Samkomulag
um sátt vegna brota Kviku banka hf.","
Hinn 19.
september 2019 gerðu Fjármálaeftirlitið og Kvika banki hf. (Kvika, málsaðili)
með sér samkomulag um að ljúka með sátt máli vegna brota gegn 2. mgr. 21. gr.
laga nr. 161/2002, um fjármálafyrirtæki (fftl.).

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/samkomulag-um-satt-vegna-brota-kviku-banka-hf.
25.10.2019,"Niðurstaða
athugunar á virðismatsaðferðum á útlánum Arion banka hf. til fimm
viðskiptamanna og aðila tengdum þeim","
Fjármálaeftirlitið
framkvæmdi vettvangsathugun hjá Arion banka hf. í febrúar og mars 2019.
Niðurstaða lá fyrir í október 2019.

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-virdismatsadferdum-a-utlanum-arion-banka-hf.-til-fimm-vidskiptamanna-og-adila-tengdum-theim
22.10.2019,"Niðurstaða
athugunar á fjárfestingarferli Tryggingamiðstöðvarinnar","
Fjármálaeftirlitið
framkvæmdi vettvangsathugun hjá Tryggingamiðstöðinni hf. í maí 2019 og lá
niðurstaða fyrir í september síðastliðnum. 

",https://www.fme.is/utgefid-efni/frettir-og-tilkynningar/gagnsaeistilkynningar/nidurstada-athugunar-a-fjarfestingarferli-tryggingamidstodvarinnar
