Surname/Firstname,Position
Mürsəlov Orxan Çingiz oğlu,Gədəbəy rayon İcra Hakimiyyətinin başçısı
Nağıyev Natiq Fərhad oğlu,Gədəbəy rayonu İcra Hakimiyyəti Başçısının birinci müavini
Musayev Vüsal Kərim oğlu,Gədəbəy rayonu İcra Hakimiyyəti Başçısının müavini-Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsinin müdiri
Allahverdiyeva Vəfa Valeh qızı,Gədəbəy rayonu İcra Hakimiyyəti Başçısının müavini-İctimai-siyasi və humanitar məsələlər şöbəsinin müdiri
Qılıcov Nizaməddin İmran oğlu,Gədəbəy rayonu İcra Hakimiyyəti Başçısı aparatının ərazi idarəetmə və yerli özünüidarəetmə orqanları ilə iş şöbəsinin müdiri
Isgəndərov Zülfüqar Firudin oğlu,Gədəbəy rayonu İcra Hakimiyyəti Başçısı aparatının Hüquq şöbəsinin  müdiri
Zeynalabdıyev Elçin Musa oğlu,Gədəbəy RİH başçısı aparatının Vətən müharibəsi iştirakçıları və şəhid ailələri ilə işin təşkili şöbəsi
Ələkbərov Vidadi Qənbər oğlu,Gədəbəy RİH başçısı aparatının Memarlıq və tikinti şöbəsinin müdiri-baş memar
Babayev Əli İbrahim oğlu,Gədəbəy rayon Prokuroru
Həşimov Mehman  Bəhman oğlu,Gədəbəy rayon Polis şöbəsinin rəisi
Nağıyev Rüstəm Vaqif oğlu,YAP Gədəbəy Rayon Təşkilatının sədri
Nağıyev Asəf Firudin oğlu,Gədəbəy Rayon Dövlət Aqrar İnkişaf Mərkəzinin direktoru
Zeynalzadə Elməddin Elxan oğlu,Qazax-Tovuz Regional Təhsil İdarəsi Gədəbəy Rayon Təhsil sektoru müdiri səlahiyyətlərini icra edən
Sarıyev Firdovsi Əlviz oğlu,Gədəbəy Mərkəzi Rayon Xəstəxanası publik hüquqi şəxsin baş direktoru
Məmmədov Kərəm Saleh oğlu,Gədəbəy Rayon Ağsaqqallar Şurasının sədri
