Surname/Firstname,postion
Rəcəb  Babaşov   ,  Qazax rayonu İcra Hakimiyyətinin başçısı
Məmməd Alıyev       , Rayon İcra Hakimiyyəti başçısının birinci müavini
Gulaya Həsənova   , Rayon İcra Hakimiyyəti başçısının müavini 
İlyaz İsmayılov      , Rayon İcra Hakimiyyəti başçısının aparatında Sənədlərlə və vətəndaşların
Adil Vəliyev             , Rayon İcra Hakimiyyəti başçısının aparatında Ərazi idarəetmə və yerli
Ülviyyə Orucova     , Rayon İcra Hakimiyyəti başçısının aparatında Hüquq şöbəsinin müdiri vəzifəsini
Fərhad İsgəndərov , Rayon İcra Hakimiyyəti başçısının aparatında Memarlıq və tikinti şöbəsinin müdiri
Svetlana Qurbanova , Rayon İcra Hakimiyyəti başçısının aparatında İnformasiya təminatı və təhlil
Rauf Gözəlov           , Qazax rayon Prokuroru
Sənan Əsədov           , Qazax rayon Polis şöbəsinin rəisi
Həmid Pənahov      , Qazax Dövlət Aqrar İnkişaf Mərkəzinin direktoru
Elçin Rzayev            , Qazax rayonu üzrə Maliyyə İdarəsinin rəisi
