position,Surname/Firstname,Contact,Unit
İcra Hakimiyyətinin başçısı,"Tağıyev Rəşad
Ənvər oğlu",305-30-00,Rəhbərlik
İcra Hakimiyyəti başçısının birinci müavini,"Zeynallı Süleyman
Gəray oğlu",305-55-55,Rəhbərlik
İcra Hakimiyyəti başçısının müavini -Sosial-iqtisadi inkişafın təhlili və proqnozlaşdırılması şöbəsinin müdiri,"Sahibsoy Rüfət
Sahib oğlu",305-32-68,Rəhbərlik
İcra Hakimiyyəti başçısının müavini -İctimai-siyasi və   humanitar məsələlər şöbəsinin müdiri,"Abdullayeva Aynur
Ayaz qızı",305-32-74,Rəhbərlik
İcra Hakimiyyəti başçısının  köməkçisi,"Əliyev Mahir
Məzahir oğlu",305-30-94,Rəhbərlik
İcra Hakimiyyəti başçısı aparatında Sektor müdiri -baş mühasib,"Zeynalov Vüsal
Nuru oğlu",305-30-18,Rəhbərlik
İcra Hakimiyyəti başçısı aparatında böyük məsləhətçi -Yetkinlik yaşına çatmayanların işləri və hüquqlarının müdafiəsi üzrə komissiyanın məsul katibi,Vakant,,Rəhbərlik
İcra Hakimiyyəti başçısı aparatında aparıcı məsləhətçi -Yetkinlik yaşına çatmayanların işləri və hüquqlarının müdafiəsi üzrə komissiyanın uşaqlarla iş üzrə  məsləhətçi- psixoloqu,"Əzizova Könül
Vaqif qızı",,Rəhbərlik
İcra Hakimiyyəti başçısı aparatında baş mütəxəssis,"Əliyev Tural
Məhərrəm oğlu",,Rəhbərlik
İnformasiya təminatı və təhlili sektorunun müdiri,"Qələndərov Natiq
Arif oğlu",305-31-49,İnformasiya təminatı və təhlili sektoru
İnformasiya təminatı və təhlili sektorunun aparıcı məsləhətçi,"Həsənov Nicat
Tofiq oğlu",,İnformasiya təminatı və təhlili sektoru
