Name,Mobile No
"A&D Credit Information Co., Ltd.",02-3705-7777
Agricultural Asset Management Corporation,02-2224-8600
"BNK Credit Information Co., Ltd.",051-890-5000
"Core Credit Information Co., Ltd.",02-2008-8000
CrePASS Solutions Inc.,02-6925-5110
"DAOL Credit Service Co., Ltd.",02-721-6900
"DGB Credit Information Co., Ltd.",053-573-7700
"ECredible Co., Ltd.",02-711-4116
"F&U Credit Information Co,. Ltd.",02-6742-7036
"IBK Credit Information Co., Ltd.",02-3469-2711
"JM Credit Service Co., Ltd.",02-6219-1183
"Joongang Credit Information Co., Ltd.",02-559-0114
"KB Credit Information Co., Ltd.",02-2070-1100
Korea Asset Management Corporation,02-3420-5000
Korea Credit Bureau,02-708-6000
Korea Credit Guarantee Fund,02-1588-6565
Korea credit service corp.,02-6391-5500
Korea Enterprise Data,02-3215-2300
"Korea TDB Credit Information Co., Ltd.",02-2194-5200
Korea Technology Credit Bureau,02-525-4615
"KOREA TECHNOLOGY CREDIT BUREAU CO., LTD.",02-525-4615
Korea Trade Insurance Corporation,02-1588-3884
"Koryo Credit Information Co., Ltd.",02-3450-9000
"KS Credit Information Co., Ltd.",02-712-5000
"MG Credit Information Service Co., Ltd.",02-3786-4000
"Mirae Credit Information Co., Ltd.",02-3451-9633
"NICE Credit Information Service Co., Ltd.",02-2122-2000
"Nice D&B Co., Ltd.",02-2122-2500
"NICE Information Service Co., Ltd.",02-2122-4000
"OK Credit Information Co., Ltd.",02-2095-3300
"Saehan Credit Information Co., Ltd.",02-3453-9933
"Saeil Credit Information Co., Ltd.",02-3455-6200
SCI Information Service Inc.,02-1577-1006
"SGI Credit Information Co., Ltd.",02-1670-7100
"Shinhan Credit Information Co., Ltd.",02-2164-7000
"SM Credit Information Co., Ltd.",02-3277-9000
"Woori Credit Information Co., Ltd.",02-2262-5800
