Name,Cell No,Tel No,Fax,Email,Website,Address
Nevis Co-operative Credit Union Ltd.,,1 (869) 469-5634,1 (869) 469-1956 / 7720,info@neviscreditunion.com,www.neviscreditunion.com,"Mr. Sydney Newton, General Manager
P.O. Box 452
Chapel Street, Charlestown
Nevis, W.I.
"
Bank of Nevis Ltd.,,1(869) 469-0080,1(869) 469-5798,emartin@thebankofnevis.com,www.thebankofnevis.com,"L. Everette Martin, General Manager
P.O. Box 450,
Main Street, Charlestown
Nevis, W.I.
Telex: 6862 NEVBANK KC
"
BON Bank Ltd,,1-(869) 469-5277,1-(869) 469-1493,peta-gayrodney@rbc.com,www.thebankofnevis.com,"Ms. Peta-Gay Rodney, Branch Manager
P.O. Box 673
Chapel Street, Charlestown
Nevis
"
Republic Bank (EC) Limited,,1(869) 469-5411,1(869) 469- 0231,ebony.harp@scotiabank.com,www.republicbankstkitts.com,"Ms. Ebony Harp, Manager
P.O. Box 467
Main Street, Charlestown
Nevis, W.I.
"
St. Kitts & Nevis Development Bank,,1(869) 469-5416/1443,1(869) 469-1262,hpember@skndb.com,www.skndb.com,"Ms. Hyacinth Pemberton, Manager
P.O. Box 507
Main Street
Charlestown
Nevis
"
St. Kitts-Nevis-Anguilla National Bank Limited,,1(869) 469-5123/5244,1(869) 469-0194,sherming@sknanb.com,www.sknanb.com,"Manager
West Square Street
Charlestown, Nevis
"
Active Insurance Management Limited,,1 (800) 921-0155,1 (949) 727-4770,fturner@activecaptive.com,,"Mr. Frederick E. Turner
C/O P.O. Box 339
136 Heber Ave., Suite 204
Park City, Utah 84060
"
"Alternative Risk Management Services, Inc.",,1 (949) 851-9001,1 (949) 833-3445,jbusch@vrslaw.net,,"Mr. Jeffrey Resnick
Mr. Jerome A. Busch
P.O. Box 7849
Newport Beach, CA 92658-7849
USA
"
"Artex Risk Solutions, Inc",,1 (480) 248-6400,1 (480) 248-6444,Jeremy Huish@artexrisk.com,www.CaptiveAdvisors.com,"Artex Risk Solutions,Inc.
1635 N Greenfield Rd.,Suite 115
Mesa,AZ 85205,United States
Attn: Jeremy Huish
"
Atlas Insurance Management (Nevis) Limited,,1 (345) 945-5556,1 (345) 945-5557,etapp@atlascaptives.com,www.atlascaptives.com,"Atlas Insurance Management
Whitehall House, 3rd Floor, 238
238 North Church Street,
PO Box 699, Grand Cayman,
KY1-1107,
Cayman Islands
Contact: Elaine Tapp
"
"Blue Water Insurance Management, LLC",,,,,,"Scott E. Lease
U. S. Office:Office: 9119 Hwy 6 S, Suite 230-148, Missouri City, TX77459
Nevis Office: Suites 5&6 Horsford’s Business Centre, Long Point Road, Charlestown, Nevis, W.I.
"
Bolder Insurance (Nevis) Limited,,+1 345 743 3311,,greg.meaker@boldergroup.com,www.boldergroup.com,"Mr. Greg Meaker
Hunkins Waterfront Jewels
PO Box 733
Charlestown
Nevis
"
Cades Bay Management Limited,,1 (869) 766-9716,,Dereklloyd@cadesbay.com,www.cadesbaymanagementlimited.com,"Derek Lloyd
Director
Hunkins Plaza
Charlestown, Nevis
"
