Component,Component URL,ISIN,Trading Location,Issuer Country
ALSTOM,https://live.euronext.com/en/product/equities/FR0010220475-XPAR,FR0010220475,Euronext Paris,France
ASM INTERNATIONAL,https://live.euronext.com/en/product/equities/NL0000334118-XAMS,NL0000334118,Euronext Amsterdam,Netherlands
ASML HOLDING,https://live.euronext.com/en/product/equities/NL0010273215-XAMS,NL0010273215,Euronext Amsterdam,Netherlands
AXA,https://live.euronext.com/en/product/equities/FR0000120628-XPAR,FR0000120628,Euronext Paris,France
BANK OF IRELAND GP,https://live.euronext.com/en/product/equities/IE00BD1RP616-XMSM,IE00BD1RP616,Euronext Dublin,Ireland
BNP PARIBAS ACT.A,https://live.euronext.com/en/product/equities/FR0000131104-XPAR,FR0000131104,Euronext Paris,France
CAPGEMINI,https://live.euronext.com/en/product/equities/FR0000125338-XPAR,FR0000125338,Euronext Paris,France
DANONE,https://live.euronext.com/en/product/equities/FR0000120644-XPAR,FR0000120644,Euronext Paris,France
DNB BANK,https://live.euronext.com/en/product/equities/NO0010161896-XOSL,NO0010161896,Oslo Børs,Norway
DSM FIRMENICH AG,https://live.euronext.com/en/product/equities/CH1216478797-XAMS,CH1216478797,Euronext Amsterdam,Switzerland
EDENRED,https://live.euronext.com/en/product/equities/FR0010908533-XPAR,FR0010908533,Euronext Paris,France
EDP RENOVAVEIS,https://live.euronext.com/en/product/equities/ES0127797019-XLIS,ES0127797019,Euronext Lisbon,Spain
ELIA GROUP,https://live.euronext.com/en/product/equities/BE0003822393-XBRU,BE0003822393,Euronext Brussels,Belgium
GENERALI ASS,https://live.euronext.com/en/product/equities/IT0000062072-MTAA,IT0000062072,Euronext Milan,Italy
GETLINK SE,https://live.euronext.com/en/product/equities/FR0010533075-XPAR,FR0010533075,Euronext Paris,France
HEINEKEN,https://live.euronext.com/en/product/equities/NL0000009165-XAMS,NL0000009165,Euronext Amsterdam,Netherlands
HERMES INTL,https://live.euronext.com/en/product/equities/FR0000052292-XPAR,FR0000052292,Euronext Paris,France
KBC,https://live.euronext.com/en/product/equities/BE0003565737-XBRU,BE0003565737,Euronext Brussels,Belgium
KERING,https://live.euronext.com/en/product/equities/FR0000121485-XPAR,FR0000121485,Euronext Paris,France
KINGSPAN GROUP PLC,https://live.euronext.com/en/product/equities/IE0004927939-XMSM,IE0004927939,Euronext Dublin,Ireland
PHILIPS KON,https://live.euronext.com/en/product/equities/NL0000009538-XAMS,NL0000009538,Euronext Amsterdam,Netherlands
