Broker names,broker filer code,addresses,phones
AMERICAN LAMPRECHT TRANSPORT INC,785,"197B RIDGEVIEW CENTER
DUNCAN, SC 29334
United States ",+1 864-433-8585          
CH POWELL COMPANY,605,"478 WANDO PARK BOULEVARD
MT PLEASANT, SC 29464
United States ",+1 843-856-2480          
D HAUSER INC,066,"11 IVORY GULL PLACE
SUITE E
HILTON HEAD, SC 29926
United States ",+1 843-723-2122          
C H ROBINSON INTERNATIONAL INC,791,"3955 FABER PLACE DRIVE
SUITE 200
N.CHARLSTON, SC 29405
United States ",+1 843-308-0388          
ACCESS CUSTOMS BROKERS INC,JK1,"5264 B INTERNATIONAL BOULEVARD
SUITE 210
N. CHARLESTON, SC 29418
United States ",+1 843-724-3434          
ARGENTS AIR EXPRESS LIMITED,TZ8,"462 WANDO PARK BOULEVARD
SUITE B
MT PLEASANT, SC 29464
United States ",+1 843-216-8301          
CUSTOMS AND EXPORTS INC,BVY,"10 BUCKINGHAM DRIVE
CHARLESTON, SC 29407
United States ",+1 843-766-5191          
CEVA INTERNATIONAL INC,004,"1619 DIAMOND SPRINGS ROAD
SUITE F
NORFOLK, VA 23455
United States ",+1 757-363-1122          
DONALD O MONTGOMERY,BTC,"2050 SPAULDING DRIVE
STE A
N. CHARLESTON, SC 26406
United States ",+1 843-853-9500          
EASTPORT CUSTOMS BROKER INC,J06,"732 THIMBLE SHOALS BOULEVARD
SUITE 302A
NEWPORT NEWS, VA 23606
United States ",+1 757-873-2215          
HIPAGE CO INC,100,"5629 LABURNUM AVENUE
RICHMOND, VA 23231
United States ",+1 804-222-6900          
EIMSKIP LOGISTICS INC,D24,"ONE COLUMBUS CENTER
SUITE 500
VIRGINIA BEACH, VA 23462
United States ",+1 757-485-0566          
ESTES FORWARDING,EFB,"4 CARRIAGE LANE
STE 200A
CHARLESTON, SC 29407
United States ",+1 843-573-2427          
INTERNATIONAL FORWARDERS INC,222,"1350 ASHLEY RIVER ROAD
CHARLESTON, SC 29407
United States ",+1 843-769-7030          
J F MORAN CO INC,002,"2265 CLEMENTS FERRY ROAD
SUITE 206
CHARLESTON, SC 29492
United States ",+1 843-849-1068          
INTERGLOBAL FORWARDERS INC,FZ2,"130 JOHNS ROAD
STE A 1
GREER, SC 29650
United States ",+1 864-879-4852          
"EPT GLOBAL LOGISTICS USA, LLC",8DA,"151 MEETING STREET
STE 310
CHARLESTON, SC 29401
United States ",+1 843-810-9240          
EXEL GLOBAL LOGISTICS INC,233,"INTERSTATE CORP CENTER BLDG 11
420 NORTH CENTER DR SUITE 142
NORFOLK, VA 23502
United States ",+1 757-466-0136          
GEODIS USA INC,113,"4995 LACROSS ROAD
SUITE 1350
N CHARLESTON, SC 29406
United States ",+1 843-744-1900          
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,231,"2265 CLEMENTS FERRY ROAD
SUITE 310
CHARLESTON, SC 29492
United States ",+1 843-554-6909          
JAS FORWARDING USA INC,D99,"4249 A CROSSPOINT DRIVE
LADSON, SC 29456
United States ",+1 843-846-5343          
MID-AMERICA OVERSEAS INC,267,"162 SEVEN FARMS DRIVE
SUITE 230
DANIEL ISLAND, SC 29492
United States ",+1 843-971-5896          
KUEHNE & NAGEL INC,101,"500 EAST MAIN STREET
SUITE 1420
NORFOLK, VA 23510
United States ",+1 757-533-9668          
MALLORY ALEXANDER INTERNATIONAL LOGISTICS LLC,HK8,"537 LONG POINT ROAD
STE 201
MT PLEASANT, SC 29464
United States ",+1 843-654-9830          
JOHN S JAMES CO,413,"2702 AZALEA DRIVE
CHARLESTON, SC 29405
United States ",+1 843-554-6400          
LESCHACO INC,056,"4925 LACROSS ROAD
STE 110
CHARLSTON, SC 29406
United States ",+1 843-308-0090          
JOHN S CONNOR INC,788,"208 EAST PLUME STREET
SUITE 8
NORFOLK, VA 23510
United States ",+1 757-627-3910          
LIVINGSTON INTERNATIONAL INC,300,"2420 MALL DRIVE
STE 208
N. CHARLESTON, SC 29406
United States ",+1 843-554-4111          
JOHN LEE,E8U,"231 FITZGERALD RD
SPARTANBURG, SC 29307
United States ",+1 864-879-4852          
LESCHACO INC,056,"4925 LACROSS ROAD
STE 110
CHARLSTON, SC 29406
United States ",+1 843-308-0090          
ROGERS & BROWN CUSTOM BROKERS INC,669,"2 CUMBERLAND STREET
CHARLESTON, SC 29401
United States ",+1 843-577-3630          
SEAMODAL TRANSPORT CORP,701,"870 NORTH MILITARY HIGHWAY
SUITE 322
NORFOLK, VA 23502
United States ",+1 757-461-6288          
SCHENKER INC,322,"2204 COMMERCE ROAD
RICHMOND, VA 23234
United States ",+1 804-230-7635          
TRANS-PORT INTERNATIONAL INC,E48,"4975 LACROSS ROAD
SUITE 300
CHARLESTON, SC 29406
United States ",+1 843-723-0688          
SCHENKER INC,322,"2204 COMMERCE ROAD
RICHMOND, VA 23234
United States ",+1 804-230-7635          
RGA LOGISTICS LLC,FZ1,"29 LEINBACH DRIVE
BLDG D 3
CHARLESTON, SC 29407
United States ",+1 843-723-3868          
TRANSFAIR NORTH AMERICA INTERNATIONAL FREIGHT SERVICES LLC DBA TRANSGROUP INTERNATIONAL,E37,"102 SANGAREE PARK COURT
SUMMERVILLE, SC 29483
United States ",+1 843-376-7648          
SAMUEL SHAPIRO & CO INC,655,"162 SEVEN FARMS DRIVE
STE 220
CHARLESTON, SC 29492
United States ",+1 843-971-0441          
SEAMAC SHIPPING INC,NX4,"215 EAST BAY STREET
SUITE 201
CHARLESTON, SC 29401
United States ",+1 843-723-4303          
PAR CUSTOMS BROKERS,EW6,"2164 TALL GRASS CIRCLE
MT PLEASANT, SC 29466
United States ",+1 516-902-3024          
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"1457 MILLER STORE ROAD
SUITE 106
VIRGINIA BEACH, VA 23455
United States ",+1 757-363-6032          
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"1457 MILLER STORE ROAD
SUITE 106
VIRGINIA BEACH, VA 23455
United States ",+1 757-363-6032          
